"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","tue",18,33,0.9,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
8,6,"mar","sun",11.4,99,1.8,0,0
8,6,"aug","sun",2.5,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"aug","mon",8,86,2.2,0,0
7,5,"sep","sat",22.8,40,4,0,0
7,5,"sep","sat",17.8,2.7,7.2,0,0
7,5,"sep","sat",19.3,38,4,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","wed",26.4,21,4.5,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"mar","wed",15.9,35,4,0,0
6,4,"sep","tue",18.3,40,2.7,0,0
7,4,"jun","sun",21,44,4.5,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
6,3,"sep","sat",30.2,24,2.7,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"oct","tue",21.7,24,4.5,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
4,4,"sep","sat",19.6,48,2.7,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","wed",25.9,24,4,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","thu",17.6,45,3.6,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
2,2,"feb","fri",12.3,51,NA,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"sep","fri",23,37,4.5,0,0
2,2,"sep","fri",19.6,33,5.4,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
4,5,"sep","fri",17.7,37,3.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"aug","tue",17.3,43,4.5,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","thu",6.7,79,3.1,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","tue",21.6,19,6.7,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"aug","thu",20.2,45,3.6,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
6,5,"mar","sat",17.4,25,4.9,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
8,6,"aug","sun",18.2,43,4.9,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
2,4,"aug","tue",20.1,40,4,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"aug","sun",21.4,33,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
4,5,"sep","mon",17.4,56,5.4,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,4,"sep","sun",22.8,39,3.6,0,0
3,4,"sep","mon",18.9,35,2.7,0,0
3,4,"mar","tue",15.8,27,7.6,0,0
3,5,"mar","tue",15.5,27,6.3,0,0
3,4,"mar","sat",11.6,30,6.3,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
3,4,"aug","thu",19.6,36,3.1,0,0
3,4,"aug","mon",10.3,74,2.2,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
3,4,"sep","tue",17.9,45,3.1,0,0
3,4,"oct","sun",20.6,24,5.4,0,0
3,5,"sep","fri",17.2,43,3.1,0,0
3,5,"oct","wed",15.9,46,3.6,0,0
2,5,"oct","sun",15.4,35,0.9,0,0
4,6,"mar","sun",78.2,46,4.9,0,0
